# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A1CF	A1CF	NM_001198818.1	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
A1CF	A1CF	NM_001198819.1	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
A1CF	A1CF	NM_001198820.1	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
A1CF	A1CF	NM_001370130.1	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
A1CF	A1CF	NM_001370131.1	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
A1CF	A1CF	NM_014576.4	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
A1CF	A1CF	NM_138932.2	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
A1CF	A1CF	NM_138933.2	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
AASDHPPT	AASDHPPT	NM_015423.3	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
AATF	AATF	NM_012138.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABAT	ABAT	NM_020686.6	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABCA1	ABCA1	NM_005502.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABCA13	ABCA13	NM_152701.5	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0
ABCA3	ABCA3	NM_001089.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001105515.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301829.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301830.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_005845.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABCD2	ABCD2	NM_005164.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353591.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353592.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353593.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353594.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353595.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353596.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353597.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353598.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353599.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353600.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353601.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353602.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_001353603.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
